sampleID	RpsJ	PsbJ	ComplexI_49KD	RpsG	DUF3172	AtpD	AtpA	PetB	LepA	CbbP
S0001	0	0	3.375527426160337	6.410256410256411	0	0.6858710562414266	1.3201320132013201	13.761467889908257	2.7685492801771874	1.1148272017837235
S0002	12.578616352201257	0	1.6877637130801686	2.1367521367521367	1.6103059581320451	1.3717421124828533	0.6600660066006601	4.587155963302752	5.537098560354376	0
S0003	9.433962264150942	0	2.531645569620253	0	0	0	0.6600660066006601	4.587155963302752	4.4296788482835	0
S0004	0	0	0	0	0	0	0	0	1.1074197120708749	1.1148272017837235
S0005	6.289308176100628	0	0	0	0	0	0	0	0.5537098560354374	0
S0006	0	0	0	0	0	0	0	0	1.1074197120708749	0
S0008	3.144654088050314	0	9.28270042194093	2.1367521367521367	0	2.05761316872428	2.6402640264026402	9.174311926605505	2.2148394241417497	2.229654403567447
S0009	0	0	0.8438818565400843	8.547008547008547	0	3.4293552812071333	0.6600660066006601	0	0.5537098560354374	0
S0010	0	0	0.8438818565400843	0	0	0	0.6600660066006601	1.529051987767584	1.6611295681063123	0
S0011	12.578616352201257	0	4.219409282700422	4.273504273504273	0	0	2.6402640264026402	0	1.1074197120708749	1.1148272017837235
S0012	0	0	0	0	0	0.6858710562414266	0	0	1.1074197120708749	0
S0013	0	0	0	0	0	0	0.6600660066006601	1.529051987767584	0	0
S0014	0	0	0	0	0	0	0	0	0	0
S0015	138.3647798742139	41.02564102564102	119.83122362869172	98.29059829059828	70.85346215780999	56.24142661179694	71.28712871287114	103.97553516819589	62.01550387596906	57.97101449275366
S0016	44.0251572327044	41.02564102564102	43.8818565400844	23.504273504273502	24.154589371980677	19.890260631001375	17.821782178217816	25.99388379204893	20.487264673311177	28.9855072463768
S0017	3.144654088050314	5.128205128205128	3.375527426160337	2.1367521367521367	1.6103059581320451	2.7434842249657065	9.900990099009901	3.058103975535168	2.7685492801771874	4.459308807134894
S0018	0	5.128205128205128	0.8438818565400843	0	3.2206119162640903	0.6858710562414266	1.3201320132013201	0	1.1074197120708749	0
