sampleID	prochlorococcus	sar11	bactarc
S0001	2.293577981651376	12.317167051578137	158.5676349485485
S0002	9.174311926605505	85.45034642032323	631.6480309380448
S0003	7.6452599388379205	76.98229407236332	668.2188259439763
S0004	25.22935779816516	270.20785219399454	1717.1436614916927
S0005	12.232415902140673	163.2024634334097	1746.1739413014639
S0006	12.232415902140673	107.77521170130845	1436.8616391475869
S0007	0	0	0
S0008	2.293577981651376	43.879907621247106	418.5330088876489
S0009	6.8807339449541285	98.53733641262491	652.6711440593486
S0010	12.996941896024465	99.30715935334854	902.4427013215786
S0011	25.993883792048955	285.6043110084677	1493.4201516840474
S0012	24.464831804281367	251.73210161662695	1918.294748848621
S0013	16.055045871559635	280.98537336412573	2231.5272092655946
S0014	0	0	0
S0015	13.761467889908257	161.66281755196243	784.4197144185264
S0016	9.938837920489297	143.18706697459535	778.6006556609245
S0017	9.174311926605505	162.43264049268606	1102.088107728693
S0018	13.761467889908257	159.35334872979155	1276.114570659686
S0019	24.464831804281367	208.62201693610376	1534.3096214445618
S0020	12.232415902140673	153.19476520400252	932.0143100499026
S0021	12.232415902140673	146.26635873748987	552.2568202476497
S0022	11.46788990825688	133.17936874518819	491.36784486882436
S0023	14.525993883792049	153.19476520400252	597.6604829098255
S0024	15.290519877675841	123.94149345650465	951.6954786873721
S0025	12.232415902140673	145.49653579676624	1465.2668279458653
S0026	9.174311926605505	125.4811393379519	1197.6244123869192
S0027	22.171253822629986	372.5943033102409	1160.2698231019194
S0028	12.996941896024465	160.12317167051518	614.1503985926892
S0029	26.75840978593275	411.8552732871474	1739.28863571778
S0030	21.40672782874619	252.50192455735058	1738.4904085406579
S0031	38.99082568807345	423.40261739800223	2243.3724278780132
S0032	23.700305810397573	321.0161662817559	2095.7506222043694
S0033	22.93577981651378	94.68822170900677	746.178044054255
S0034	6.116207951070336	143.95688991531898	1375.4746994814188
S0035	3.8226299694189603	90.83910700538863	1571.951960223429
S0036	13.761467889908257	160.8929946112388	1185.3537236628026
S0037	18.348623853211016	206.31254811393288	1218.424328432879
S0038	0	0	0
S0039	10.703363914373089	121.63202463433376	1222.3264126048894
S0040	6.8807339449541285	105.46574287913757	1266.8461078840585
S0041	60.39755351681968	117.78290993071562	675.1730431210212
S0042	13.761467889908257	80.06158583525783	878.7294132292997
S0043	9.174311926605505	136.2586605080827	932.0354978372627
S0044	6.116207951070336	86.22016936104686	418.3500041364546
S0045	11.46788990825688	104.69591993841394	1580.745566001232
S0046	9.174311926605505	105.46574287913757	1333.034989945764
S0047	104.74006116207971	187.06697459584217	875.5548277076906
S0048	46.63608562691139	90.83910700538863	471.800351787604
S0049	44.34250764526001	372.5943033102409	1335.1662820775762
S0050	12.232415902140673	139.3379522709772	595.679944962162
S0051	14.525993883792049	162.43264049268606	1596.199097036847
S0052	13.761467889908257	146.26635873748987	1354.4799905964924
S0053	12.232415902140673	287.143956889915	2190.2835180904663
S0054	9.174311926605505	183.98768283294766	1799.78247204973
S0055	9.174311926605505	162.43264049268606	1813.8612878639979
S0056	0	0	0
S0057	32.110091743119305	351.80908391070216	981.2235176468732
S0058	16.055045871559635	240.95458044649615	667.1687337067622
