sampleID	trpS	DUF3470	ACP	RpsL	NQO	CarD	UBQ	TPR_2	RelA	CJE
S0001	242.2422422422438	385.8024691358034	164.55696202531644	428.18428184281913	115.94202898550725	251.52625152625092	199.45355191256849	9.195402298850574	154.3316121629377	142.2764227642276
S0002	1163.1631631631517	1148.1481481481403	1236.2869198312217	1165.3116531165228	807.4534161490759	927.9609279609213	907.1038251366083	264.36781609195407	1099.2541594951251	845.5284552845513
S0003	1457.4574574574417	1490.740740740728	1451.4767932489383	1607.0460704606899	1271.2215320910977	1153.846153846141	1207.650273224038	464.36781609195174	1590.3614457831352	1174.7967479674735
S0004	2289.2892892892614	2561.7283950617	1936.7088607594758	2143.6314363143406	2070.3933747411706	1719.1697191696912	1972.6775956284048	986.2068965517275	2943.7751004016113	2123.9837398373784
S0005	1840.8408408408195	1876.5432098765248	1767.9324894514627	2140.9214092140696	1600.4140786749351	1300.3663003662837	1357.923497267753	436.78160919540034	1954.6758462421146	1762.1951219512048
S0006	1063.063063063053	1182.0987654320904	1168.7763713080165	1406.5040650406386	898.55072463769	789.987789987787	718.5792349726751	149.42528735632192	1150.889271371201	884.1463414634126
S0008	779.7797797797739	740.7407407407388	742.616033755276	512.1951219512207	567.2877846790933	606.8376068376087	483.60655737704815	222.98850574712657	695.3528399311543	640.2439024390259
S0009	1332.3323323323184	1376.543209876532	1654.008438818554	1140.9214092140842	1033.1262939958694	957.2649572649498	890.7103825136576	354.0229885057461	1287.435456110157	1219.5121951219444
S0010	1599.5995995995818	1456.7901234567778	1810.126582278466	1249.3224932249227	1146.9979296066308	1119.6581196581078	1199.4535519125627	462.0689655172391	1368.9041881812989	1382.1138211382022
S0011	3179.1791791791384	2466.0493827160226	2886.0759493670494	1940.3794037940183	2211.180124223582	2151.404151404112	2341.530054644796	1252.8735632183864	3021.227768215725	2754.0650406503773
S0012	2693.69369369366	2216.0493827160262	2270.0421940928018	2013.5501355013344	2190.4761904761685	1582.4175824175582	2016.39344262294	1039.0804597701183	2679.288582903045	2296.7479674796523
S0013	2617.617617617585	2061.7283950617075	2468.354430379717	2029.8102981029601	2140.7867494823763	1649.5726495726235	1890.7103825136512	783.9080459770122	2701.090074584055	2455.2845528455036
S0014	0	0	0	0	0	0	0	0	0	0
S0015	2127.1271271271016	1595.6790123456647	2253.1645569620005	1314.3631436314258	1637.6811594202752	1579.9755799755558	1636.6120218579151	629.885057471263	1899.5983935743004	1855.691056910553
S0016	1836.8368368368156	1611.1111111110965	2223.628691983098	1433.6043360433482	1608.6956521738996	1272.2832722832563	1316.9398907103762	590.8045977011476	1687.3207114170998	1538.6178861788503
S0017	1764.7647647647445	1959.876543209857	1966.244725738378	1552.8455284552706	1511.3871635610672	1090.3540903540793	1262.2950819672071	409.19540229884893	1609.2943201376963	1658.5365853658404
