314277	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;Marinomonas sp. MED121
317025	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Hydrogenovibrio;Hydrogenovibrio crunogenus;Hydrogenovibrio crunogenus XCL-2
327160	Betaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;Candidatus Accumulibacter;Candidatus Accumulibacter phosphatis
331678	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium/Pelodictyon group;Chlorobium;Chlorobium phaeobacteroides;Chlorobium phaeobacteroides BS1
349520	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus polymyxa;Paenibacillus polymyxa E681
351605	Deltaproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;Geobacter uraniireducens;Geobacter uraniireducens Rf4
360106	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter fetus;Campylobacter fetus subsp. fetus;Campylobacter fetus subsp. fetus 82-40
386456	Euryarchaeota	cellular organisms;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium arcticum
390877	Rhodospirillales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Nisaea;Nisaea denitrificans
394935	Betaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chromobacterium group;Chromobacterium;Chromobacterium haemolyticum
396808	Betaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Andreprevotia;Andreprevotia chitinilytica
398525	Rhizobiales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium elkanii;Bradyrhizobium elkanii USDA 76
404770	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium;Marinobacterium litorale
444922	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae;Psychromonas;Psychromonas ossibalaenae
513049	Cyanobacteria	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Arthrospira;Arthrospira maxima;Arthrospira maxima CS-328
543769	eukaryotes	cellular organisms;Eukaryota;Rhizaria
563040	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;Sulfurimonas autotrophica;Sulfurimonas autotrophica DSM 16294
614083	Betaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Rhodoferax saidenbachensis;Rhodoferax saidenbachensis ED16
632245	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium butyricum;Clostridium butyricum E4 str. BoNT E BL5262
644295	Euryarchaeota	cellular organisms;Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium;Methanohalobium evestigatum;Methanohalobium evestigatum Z-7303
690585	Rhizobiales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Rhizobium;Rhizobium vignae
696747	Cyanobacteria	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Arthrospira;Arthrospira platensis;Arthrospira platensis NIES-39
709032	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfuricurvum;Sulfuricurvum kujiense;Sulfuricurvum kujiense DSM 16994
722419	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas haloplanktis;Pseudoalteromonas haloplanktis ANT/505
744980	Rhodobacterales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibium;Roseibium sp. TrichSKD4
758847	Spirochaetes	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira santarosai;Leptospira santarosai serovar Shermani;Leptospira santarosai serovar Shermani str. LT 821
857087	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas;Methylomonas methanica;Methylomonas methanica MC09
865937	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Gillisia;Gillisia limnaea;Gillisia limnaea DSM 15749
886738	Thaumarchaeota	cellular organisms;Archaea;TACK group;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosoarchaeum;Candidatus Nitrosoarchaeum limnia;Candidatus Nitrosoarchaeum limnia SFB1
904296	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sp. oral taxon 108;Oribacterium sp. oral taxon 108 str. F0425
913333	Thaumarchaeota	cellular organisms;Archaea;TACK group;Thaumarchaeota;unclassified Thaumarchaeota;Marine Group I;Thaumarchaeota archaeon SCGC AAA007-O23
913337	Nitrospinia	cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Nitrospinae;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;Nitrospina sp. SCGC AAA288-L16
929558	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas;Sulfurimonas gotlandica;Sulfurimonas gotlandica GD1
931276	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium saccharoperbutylacetonicum;Clostridium saccharoperbutylacetonicum N1-4;Clostridium saccharoperbutylacetonicum N1-4(HMT)
939714	Gemmatimonadetes	cellular organisms;Bacteria;FCB group;Gemmatimonadetes;unclassified Gemmatimonadetes;Gemmatimonadetes bacterium SCGC AAA240-J22
944547	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;Arcobacter sp. L
944559	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. HGF7
979226	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella;Cohnella panacarvi;Cohnella panacarvi Gsoil 349
983328	Epsilonproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter fetus;Campylobacter fetus subsp. venerealis;Campylobacter fetus subsp. venerealis NCTC 10354
1009415	Verrucomicrobia	cellular organisms;Bacteria;PVC group;Verrucomicrobia;unclassified Verrucomicrobia;unclassified Verrucomicrobia (miscellaneous);Verrucomicrobia bacterium SCGC AAA164-E04
1040987	Rhizobiales	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium sp. WSM3626
1042163	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;Brevibacillus laterosporus;Brevibacillus laterosporus LMG 15441
1042377	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbifer;Microbulbifer agarilyticus;Microbulbifer agarilyticus S89
1049973	Spirochaetes	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira noguchii;Leptospira noguchii str. 1993005606
1054460	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pseudopneumoniae;Streptococcus pseudopneumoniae IS7493
1088540	Spirochaetes	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Leptospirales;Leptospiraceae;Leptospira;Leptospira weilii;Leptospira weilii serovar Topaz;Leptospira weilii serovar Topaz str. LT2116
1112274	Betaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus;Methylophilus sp. 5
1116472	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloglobulus;Methyloglobulus morosus;Methyloglobulus morosus KoM1
1120965	bacteroidetes	cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus mannitolivorans;Algoriphagus mannitolivorans DSM 15301
1120999	Betaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Andreprevotia;Andreprevotia chitinilytica;Andreprevotia chitinilytica DSM 18519
1121411	Deltaproteobacteria	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium;Desulfomicrobium escambiense;Desulfomicrobium escambiense DSM 10707
1121947	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Helcococcus;Helcococcus sueciensis;Helcococcus sueciensis DSM 17243
1122164	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella lansingensis;Legionella lansingensis DSM 19556 = ATCC 49751
1122201	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinobacterium;Marinobacterium litorale;Marinobacterium litorale DSM 23545
1123399	Gammaproteobacteria	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;Thiothrix disciformis;Thiothrix disciformis DSM 14473
1131266	Thaumarchaeota	cellular organisms;Archaea;TACK group;Thaumarchaeota;unclassified Thaumarchaeota;Marine Group I;Marine Group I thaumarchaeote SCGC AB-629-I23
1131269	Nitrospinia	cellular organisms;Bacteria;Nitrospinae/Tectomicrobia group;Nitrospinae;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;Nitrospina sp. AB-629-B18
1156417	Firmicutes	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloranaerobacter;Caloranaerobacter azorensis;Caloranaerobacter azorensis H53214
