pboot.m	pboot.o	lrt	covariate
0	9.99000999000999e-4	6.080491243143078e-13	pel_IIb
0	9.99000999000999e-4	8.930957999098546e-34	sar11_pepm
0	9.99000999000999e-4	1.697053733935272e-21	archaea
0	9.99000999000999e-4	2.3117429234150035e-8	pel_IV
0	9.99000999000999e-4	1.8827565623764762e-7	pro_LLIV
0	9.99000999000999e-4	1.8827565623764762e-7	depth
