genome	HepDI	HepDII	MpnS	PepM	PpdA	PpdH	isocitrase_lyase_like
specI-1223570	0	0	0	1	1	0	0
specI-1234664	0	0	0	1	1	0	0
specI-1235797	0	0	0	1	1	1	0
specI-1235835	0	0	0	1	1	1	0
specI-1236516	0	0	0	1	1	0	0
specI-1280666	0	0	0	1	1	1	0
specI-1280692	0	0	0	1	1	0	0
specI-1295642	0	0	0	1	1	0	0
specI-1304275	0	0	0	1	1	0	0
specI-1308866	0	0	0	1	0	0	0
specI-1321786	0	0	0	1	1	0	0
specI-1325130	0	0	0	1	1	0	0
specI-1341157	0	0	0	1	1	1	0
specI-1345695	0	0	0	1	1	0	0
specI-1347368	0	0	0	1	1	1	0
specI-1353529	0	0	0	1	1	0	0
specI-1354301	0	0	0	1	1	0	0
specI-1355368	0	0	0	2	0	1	0
specI-1357400	0	0	0	1	1	1	0
specI-1384065	0	0	0	3	2	1	0
specI-1387312	0	0	0	1	1	0	0
specI-1392491	0	0	0	1	1	0	0
specI-140626	0	0	0	1	1	1	0
specI-1408304	0	0	0	1	1	1	0
specI-1408305	0	0	0	1	1	1	0
specI-1408319	0	0	0	1	1	0	0
specI-1408324	0	0	0	1	1	0	0
specI-1408430	0	0	0	1	1	0	0
specI-1408437	0	0	0	1	1	0	0
specI-1410609	0	0	0	2	1	1	0
specI-1410617	0	0	0	1	1	1	0
specI-1410631	0	0	0	1	1	0	0
specI-1410633	0	0	0	1	1	0	0
specI-1410638	0	0	0	1	1	1	0
specI-1410650	0	0	0	1	1	0	0
specI-1410666	0	0	0	1	1	0	0
specI-1410671	0	0	0	1	1	0	0
specI-1410676	0	0	0	1	1	0	0
specI-1423686	0	0	0	1	0	0	0
specI-1461693	0	0	0	1	1	1	0
specI-1487953	0	0	0	1	0	0	0
specI-1499689	0	0	0	1	1	0	0
specI-1501230	0	0	0	1	1	0	0
specI-1548018	0	0	0	1	0	0	0
specI-158189	0	0	0	1	1	0	0
specI-158190	0	0	0	1	1	1	0
specI-159290	0	0	0	1	1	0	0
specI-1677920	0	0	0	1	1	0	0
specI-1820025	0	0	0	3	2	0	0
specI-1820025	0	0	0	3	2	0	0
specI-1820025	0	0	0	3	2	0	0
specI-1905730	0	0	0	1	1	0	0
specI-212717	0	0	0	1	1	0	0
specI-213810	0	0	0	1	1	1	0
specI-218491	0	0	0	1	1	0	0
specI-221027	0	0	0	1	1	0	0
specI-226186	0	0	0	1	1	0	0
specI-237368	0	0	0	1	0	0	0
specI-243160	0	0	0	1	1	0	0
specI-243275	0	0	0	1	1	0	0
specI-246199	0	0	0	1	1	0	0
specI-272559	0	0	0	1	1	0	0
specI-272560	0	0	0	2	2	0	0
specI-2754	0	0	0	1	1	1	0
specI-290402	0	0	0	1	1	0	0
specI-314278	0	0	0	1	1	0	0
specI-325777	0	0	0	1	1	0	0
specI-330214	0	0	0	1	1	0	0
specI-338966	0	0	0	1	0	0	0
specI-342113	0	0	0	4	2	0	0
specI-342113	0	0	0	4	2	0	0
specI-357276	0	0	0	1	1	1	0
specI-37659	0	0	0	1	1	0	0
specI-388467	0	0	0	1	1	0	0
specI-397287	0	0	0	0	1	0	0
specI-397288	0	0	0	1	1	1	0
specI-397291	0	0	0	1	1	0	0
specI-411479	0	0	0	1	1	0	0
specI-428125	0	0	0	1	1	1	0
specI-439235	0	0	0	1	1	1	0
specI-449673	0	0	0	1	1	0	0
specI-483216	0	0	0	1	1	1	0
specI-483218	0	0	0	1	1	0	0
specI-500640	0	0	0	1	0	0	0
specI-513049	0	0	0	2	2	2	0
specI-513049	0	0	0	2	2	2	0
specI-537011	0	0	0	1	1	1	0
specI-537971	0	0	0	1	0	1	0
specI-545693	0	0	0	1	1	0	0
specI-545694	0	0	0	1	1	0	0
specI-545695	0	0	0	1	1	0	0
specI-546271	0	0	0	1	1	0	0
specI-552396	0	0	0	1	1	0	0
specI-553184	0	0	0	1	1	1	0
specI-555088	0	0	0	1	1	1	0
specI-555779	0	0	0	1	1	1	0
specI-556267	0	0	0	1	1	0	0
specI-561231	0	0	0	1	1	0	0
specI-572265	0	0	0	1	1	0	0
specI-572480	0	0	0	1	1	1	0
specI-585501	0	0	0	1	1	1	0
specI-585503	0	0	0	1	1	0	0
specI-589865	0	0	0	1	1	1	0
specI-59374	0	0	0	1	1	0	0
specI-596324	0	0	0	1	1	0	0
specI-613026	0	0	0	2	0	1	0
specI-613026	0	0	0	2	0	1	0
specI-622312	0	0	0	1	1	0	0
specI-62928	0	0	0	1	1	1	0
specI-632245	0	0	0	1	1	0	0
specI-633147	0	0	0	1	1	0	0
specI-634503	0	0	0	1	1	0	0
specI-638302	0	0	0	1	1	0	0
specI-641107	0	0	0	1	1	0	0
specI-642492	0	0	0	1	1	1	0
specI-656519	0	0	0	1	1	1	0
specI-665571	0	0	0	1	1	0	0
specI-666686	0	0	0	1	1	0	0
specI-679201	0	0	0	1	1	0	0
specI-689781	0	0	0	1	1	1	0
specI-696747	0	0	0	1	1	1	0
specI-697284	0	0	0	2	1	0	0
specI-697329	0	0	0	1	1	0	0
specI-702437	0	0	0	1	1	0	0
specI-706191	0	0	0	1	0	0	0
specI-717227	0	0	0	1	1	0	0
specI-718255	0	0	0	1	1	0	0
specI-744872	0	0	0	1	1	0	0
specI-754027	0	0	0	1	1	0	0
specI-796334	0	0	0	0	1	0	0
specI-86106	0	0	0	1	0	0	0
specI-864563	0	0	0	1	1	0	0
specI-86668	0	0	0	1	1	0	0
specI-869212	0	0	0	1	1	0	0
specI-877420	0	0	0	1	1	0	0
specI-877421	0	0	0	1	1	0	0
specI-877424	0	0	0	1	1	0	0
specI-879310	0	0	0	1	1	0	0
specI-880072	0	0	0	1	1	0	0
specI-882378	0	0	0	1	1	0	0
specI-904296	0	0	0	2	1	1	0
specI-906968	0	0	0	1	1	0	0
specI-913337	0	0	0	1	0	0	0
specI-91352	0	0	0	1	1	0	0
specI-926551	0	0	0	1	1	1	0
specI-927658	0	0	0	1	1	1	0
specI-929794	0	0	0	1	0	0	0
specI-932677	0	0	0	1	1	0	0
specI-936572	0	0	0	1	0	0	0
specI-936573	0	0	0	1	1	0	0
specI-944559	0	0	0	1	1	0	0
specI-97139	0	0	0	1	1	0	0
specI-985867	0	0	0	1	0	0	0
specI-999423	0	0	0	1	1	0	0
TMED122	0	0	0	1	1	1	0
TMED174	1	0	0	1	1	0	0
TMED191	0	0	0	1	1	1	0
TMED216	0	0	0	1	1	1	0
TMED36	0	0	0	1	1	0	0
TMED64	0	0	0	1	1	1	0
TMED65	0	0	0	1	1	0	0
TMED81	0	0	0	1	0	0	0
UBA1016	0	0	0	1	1	0	0
UBA1102	0	0	0	1	1	0	0
UBA1136	0	0	0	0	1	0	0
UBA1137	0	0	0	1	1	1	0
UBA1151	0	0	0	1	0	1	0
UBA1181	0	0	0	1	1	1	0
UBA1182	0	0	0	1	1	1	0
UBA1189	0	0	0	1	1	1	0
UBA1192	0	0	0	1	1	0	0
UBA1193	0	0	0	1	0	0	0
UBA1202	0	0	0	1	1	0	0
UBA1209	0	0	0	1	1	0	0
UBA1212	0	0	0	1	1	0	0
UBA1213	0	0	0	1	1	0	0
UBA1221	0	0	0	1	0	0	0
UBA1233	0	0	0	1	1	0	0
UBA1240	0	0	0	1	1	0	0
UBA1243	0	0	0	1	0	0	0
UBA1244	0	0	0	1	0	0	0
UBA1340	0	0	0	1	0	1	0
UBA1344	0	0	0	1	0	1	0
UBA1345	0	0	0	1	0	1	0
UBA1361	0	0	0	0	1	0	0
UBA1666	0	0	0	1	1	0	0
UBA1684	0	0	0	2	2	1	0
UBA1684	0	0	0	2	2	1	0
UBA1711	0	0	0	1	1	1	0
UBA1760	0	0	0	1	1	0	0
UBA1829	0	0	0	1	1	0	0
UBA1842	0	0	0	1	1	0	0
UBA1851	0	0	0	1	0	1	0
UBA1954	0	0	0	1	1	0	0
UBA208	0	0	0	1	1	1	0
UBA2126	0	0	0	1	1	1	0
UBA2141	0	0	0	1	0	0	0
UBA2153	0	0	0	1	1	1	0
UBA2160	0	0	0	1	0	0	0
UBA2190	0	0	0	1	1	1	0
UBA2319	0	0	0	1	1	1	0
UBA2330	0	0	0	1	1	1	0
UBA237	0	0	0	1	1	1	0
UBA2371	0	0	0	1	1	0	0
UBA2440	0	0	0	1	0	1	0
UBA2521	0	0	0	1	1	1	0
UBA2524	0	0	0	1	1	0	0
UBA2559	0	0	0	1	1	1	0
UBA2719	0	0	0	1	1	0	0
UBA2721	0	0	0	2	2	2	0
UBA2721	0	0	0	2	2	2	0
UBA2740	0	0	0	1	0	0	0
UBA2762	0	0	0	1	1	0	0
UBA2764	0	0	0	1	1	1	0
UBA2808	0	0	0	1	1	0	0
UBA2809	0	0	0	1	1	0	0
UBA2827	0	0	0	1	1	1	0
UBA2836	0	0	0	1	1	0	0
UBA2838	0	0	0	1	1	0	0
UBA2839	0	0	0	1	1	0	0
UBA2840	0	0	0	1	1	1	0
UBA2853	0	0	0	1	1	0	0
UBA2868	0	0	0	1	1	0	0
UBA2876	0	0	0	1	1	0	0
UBA2879	0	0	0	1	1	0	0
UBA2888	0	0	0	1	1	0	0
UBA2899	0	0	0	1	1	0	0
UBA2900	0	0	0	1	1	0	0
UBA2910	0	0	0	1	1	1	0
UBA2913	0	0	0	1	1	0	0
UBA2929	0	0	0	1	0	0	0
UBA2932	0	0	0	1	1	0	0
UBA2942	0	0	0	1	1	0	0
UBA2943	0	0	0	0	1	0	0
UBA2962	0	0	1	0	0	0	0
UBA2988	0	0	0	1	0	0	0
UBA3001	0	0	0	1	1	0	0
UBA3211	0	0	0	0	1	0	0
UBA3216	0	0	0	1	1	0	0
UBA3223	0	0	0	1	1	1	0
UBA3279	0	0	0	1	1	1	0
UBA3282	0	0	0	2	1	1	0
UBA3282	0	0	0	2	1	1	0
UBA3288	0	0	0	1	1	0	0
UBA3299	0	0	0	1	1	0	0
UBA3310	0	0	0	1	1	0	0
UBA3311	0	0	0	1	1	0	0
UBA3402	0	0	0	1	1	0	0
UBA3499	0	0	0	1	1	0	0
UBA3632	0	0	0	1	1	1	0
UBA3644	0	0	0	1	1	1	0
UBA3649	0	0	0	1	1	0	0
UBA3653	0	0	0	1	1	1	0
UBA3660	0	0	0	1	1	0	0
UBA3661	0	0	0	1	1	0	0
UBA3662	0	0	0	2	1	0	0
UBA3662	0	0	0	2	1	0	0
UBA3672	0	0	0	1	1	0	0
UBA3691	0	0	0	1	1	0	0
UBA3696	0	0	0	1	1	1	0
UBA3700	0	0	0	1	1	0	0
UBA3702	0	0	0	1	1	0	0
UBA3704	0	0	0	1	1	0	0
UBA3706	0	0	0	1	1	0	0
UBA3708	0	0	0	1	1	0	0
UBA3717	0	0	0	1	1	0	0
UBA3730	0	0	0	1	1	0	0
UBA3732	0	0	0	1	1	0	0
UBA3745	0	0	0	1	1	0	0
UBA3754	0	0	0	1	1	0	0
UBA3766	0	0	0	1	1	0	0
UBA3780	0	0	0	1	0	0	0
UBA3781	0	0	0	1	1	0	0
UBA3790	0	0	0	1	1	0	0
UBA3791	0	0	0	1	1	0	0
UBA3795	0	0	0	1	1	0	0
UBA3803	0	0	0	1	1	0	0
UBA3810	0	0	0	1	1	0	0
UBA3814	0	0	0	0	1	0	0
UBA3819	0	0	0	1	1	0	0
UBA3820	0	0	0	1	1	0	0
UBA3821	0	0	0	1	1	0	0
UBA3825	0	0	0	1	1	0	0
UBA3827	0	0	0	1	1	0	0
UBA3828	0	0	0	1	1	1	0
UBA3833	0	0	0	1	1	0	0
UBA3847	0	0	0	1	1	0	0
UBA3850	0	0	0	1	1	0	0
UBA3860	0	0	0	1	1	1	0
UBA3865	0	0	0	1	0	0	0
UBA3920	0	0	0	1	1	0	0
UBA3936	0	0	0	1	1	1	0
UBA3939	0	0	0	1	1	0	0
UBA3940	0	0	0	1	0	0	0
UBA4036	0	0	0	1	0	1	0
UBA4085	0	0	0	1	1	1	0
UBA4108	0	0	0	1	1	1	0
UBA4170	0	0	0	1	1	0	0
UBA4180	0	0	0	1	1	1	0
UBA4223	0	0	0	1	1	1	0
UBA4245	0	0	0	1	1	0	0
UBA4248	0	0	0	1	1	0	0
UBA4256	0	0	0	1	1	0	0
UBA4268	0	0	0	1	1	0	0
UBA4273	0	0	0	1	1	0	0
UBA4276	0	0	0	1	1	0	0
UBA4281	0	0	0	1	2	0	0
UBA4295	0	0	0	1	1	0	0
UBA4298	0	0	0	1	1	0	0
UBA4300	0	0	0	1	0	0	0
UBA4310	0	0	0	1	0	0	0
UBA4314	0	0	0	1	1	1	0
UBA4315	0	0	0	1	1	0	0
UBA4324	0	0	0	1	1	0	0
UBA4338	0	0	0	2	2	1	0
UBA4338	0	0	0	2	2	1	0
UBA4342	0	0	0	2	0	0	0
UBA4342	0	0	0	2	0	0	0
UBA4364	0	0	0	1	1	0	0
UBA4371	0	0	0	1	1	0	0
UBA4377	0	0	0	1	1	0	0
UBA4383	0	0	0	1	1	0	0
UBA4411	0	0	0	1	1	1	0
UBA4457	0	0	0	1	1	0	0
UBA4548	0	0	0	1	1	0	0
UBA4678	0	0	0	1	1	0	0
UBA4697	0	0	0	0	1	0	0
UBA4707	0	0	0	1	1	0	0
UBA4709	0	0	0	1	1	0	0
UBA4713	0	0	0	1	1	0	0
UBA4804	0	0	0	1	1	0	0
UBA4898	0	0	0	0	1	0	0
UBA4914	0	0	0	0	1	0	0
UBA4924	0	0	0	1	0	1	0
UBA4935	0	0	0	1	1	1	0
UBA5131	0	0	0	1	1	0	0
UBA5152	0	0	0	1	1	0	0
UBA5210	0	0	0	1	1	0	0
UBA5212	0	0	0	1	1	1	0
UBA5261	0	0	0	1	1	1	0
UBA5263	0	0	0	0	1	0	0
UBA5282	0	0	0	1	1	1	0
UBA5297	0	0	0	1	1	0	0
UBA5332	0	0	0	2	2	2	0
UBA5332	0	0	0	2	2	2	0
UBA5349	0	0	0	1	1	1	0
UBA5396	0	0	0	1	1	0	0
UBA541	0	0	0	1	1	1	0
UBA5423	0	0	0	1	1	0	0
UBA5429	0	0	0	1	1	1	0
UBA543	0	0	0	1	0	1	0
UBA544	0	0	0	1	0	1	0
UBA5471	0	0	0	1	1	1	0
UBA5479	0	0	0	0	1	0	0
UBA5530	0	0	0	1	1	0	0
UBA5610	0	0	0	1	0	0	0
UBA5698	0	0	0	1	1	0	0
UBA5702	0	0	0	1	1	0	0
UBA5783	0	0	0	1	1	0	0
UBA5849	0	0	0	1	1	1	0
UBA5856	0	0	0	1	1	1	0
UBA5879	0	0	0	1	1	0	0
UBA5918	0	0	0	1	1	0	0
UBA6072	0	0	0	1	1	1	0
UBA6081	0	0	0	1	1	0	0
UBA6093	0	0	0	1	0	0	0
UBA6123	0	0	0	1	1	0	0
UBA6153	0	0	0	1	1	0	0
UBA6261	0	0	0	1	1	0	0
UBA630	0	0	0	1	1	0	0
UBA6328	0	0	0	1	1	0	0
UBA6351	0	0	0	1	1	0	0
UBA6352	0	0	0	1	1	1	0
UBA6366	0	0	0	1	1	0	0
UBA6381	0	0	0	1	0	0	0
UBA6407	0	0	0	0	1	0	0
UBA6429	0	0	0	1	1	0	0
UBA6447	0	0	0	1	1	0	0
UBA647	0	0	0	1	1	1	0
UBA6475	0	0	0	1	1	0	0
UBA6488	0	0	0	1	0	0	0
UBA6493	0	0	0	1	0	0	0
UBA6531	0	0	0	1	1	1	0
UBA6595	0	0	0	1	1	0	0
UBA6614	0	0	0	1	1	1	0
UBA6697	0	0	0	1	1	0	0
UBA6731	0	0	0	1	0	0	0
UBA6735	0	0	0	1	0	0	0
UBA6836	0	0	0	1	1	0	0
UBA6844	0	0	0	1	1	0	0
UBA6852	0	0	0	1	1	0	0
UBA6890	0	0	0	1	0	0	0
UBA6956	0	0	0	1	0	1	0
UBA6974	0	0	0	1	1	0	0
UBA6976	0	0	0	1	1	0	0
UBA6980	0	0	0	1	1	0	0
UBA7010	0	0	0	1	1	0	0
UBA7027	0	0	0	1	1	0	0
UBA7044	0	0	0	1	1	0	0
UBA7046	0	0	0	1	1	0	0
UBA7076	0	0	0	1	1	1	0
UBA7081	0	0	0	1	1	0	0
UBA7110	0	0	0	1	1	0	0
UBA7113	0	0	0	1	1	0	0
UBA7122	0	0	0	2	2	0	0
UBA7122	0	0	0	2	2	0	0
UBA7129	0	0	0	1	1	0	0
UBA7150	0	0	0	1	1	0	0
UBA7170	0	0	0	1	1	0	0
UBA7174	0	0	0	1	1	0	0
UBA7175	0	0	0	1	1	0	0
UBA7179	0	0	0	1	1	0	0
UBA7182	0	0	0	1	1	2	0
UBA7200	0	0	0	1	1	0	0
UBA7202	0	0	0	1	1	0	0
UBA7210	0	0	0	1	1	0	0
UBA7218	0	0	0	1	1	1	0
UBA7231	0	0	0	1	1	0	0
UBA7274	0	0	0	1	1	0	0
UBA7299	0	0	0	1	1	1	0
UBA730	0	0	0	1	1	0	0
UBA7324	0	0	0	1	1	0	0
UBA7330	0	0	0	1	1	0	0
UBA7357	0	0	0	1	1	0	0
UBA7421	0	0	0	1	1	1	0
UBA745	0	0	0	1	0	0	0
UBA7475	0	0	0	1	1	0	0
UBA7480	0	0	0	1	1	0	0
UBA752	0	0	0	1	1	0	0
UBA753	0	0	0	1	1	0	0
UBA7557	0	0	0	1	1	0	0
UBA758	0	0	0	1	0	0	0
UBA7590	0	0	0	1	1	0	0
UBA7650	0	0	0	1	0	1	0
UBA7655	0	0	0	1	1	0	0
UBA7677	0	0	0	1	0	0	0
UBA768	0	0	0	1	1	0	0
UBA774	0	0	0	1	1	0	0
UBA7744	0	0	0	1	1	0	0
UBA7763	0	0	0	1	1	0	0
UBA7833	0	0	0	1	0	1	0
UBA7882	0	0	0	1	1	1	0
UBA7883	0	0	0	1	1	1	0
UBA832	0	0	0	1	1	0	0
UBA946	0	0	0	1	0	0	0
