genome	HepDI	HepDII	MpnS	PepM	PpdA	PpdH	isocitrase_lyase_like
specI-67373	1	0	0	1	1	2	4
specI-68244	0	0	0	1	1	0	4
specI-84725	0	0	0	1	0	0	4
UBA6544	0	0	0	1	1	0	4
CPC38	0	0	0	1	1	0	3
DSM6293	0	0	0	1	1	0	3
EAC64	0	0	0	1	1	0	3
MED675	0	0	0	1	0	0	3
SAT42	0	0	0	0	1	0	3
SP125	0	0	0	1	1	0	3
SP154	0	0	0	1	1	0	3
specI-1041159	0	0	0	1	0	0	3
specI-1056816	0	0	0	1	1	0	3
specI-1122604	0	0	0	1	1	0	3
specI-1123355	0	0	0	1	1	0	3
specI-1151127	0	0	0	1	0	0	3
specI-1157638	0	0	0	1	0	0	3
specI-1218078	0	0	0	1	1	0	3
specI-1245469	0	0	0	1	1	0	3
specI-1282356	0	0	0	1	1	0	3
specI-1286093	0	0	0	1	1	0	3
specI-1297569	0	0	0	1	0	0	3
specI-1306990	0	0	0	1	0	0	3
specI-1357279	0	0	0	1	0	1	3
specI-1366050	0	0	0	1	1	0	3
specI-1388763	0	0	0	1	0	0	3
specI-1415542	0	0	0	1	0	1	3
specI-1415546	0	0	0	1	0	0	3
specI-1415551	0	0	0	1	0	1	3
specI-1415557	0	0	0	1	0	0	3
specI-1427391	0	0	0	1	0	1	3
specI-1463830	0	0	0	1	0	0	3
specI-1463834	0	0	0	1	1	0	3
specI-1463846	0	0	0	1	0	1	3
specI-1463861	0	0	0	1	0	0	3
specI-1463866	0	0	0	1	1	0	3
specI-1463875	0	0	0	1	0	0	3
specI-1463909	0	0	0	1	0	1	3
specI-1463917	0	0	0	1	0	0	3
specI-1463920	0	0	0	1	1	0	3
specI-1463921	0	0	0	1	1	1	3
specI-1463931	1	0	0	1	1	1	3
specI-1463936	0	1	0	2	1	1	3
specI-1463936	0	1	0	2	1	1	3
specI-1472716	0	0	0	1	1	0	3
specI-1519492	0	0	0	1	1	0	3
specI-1519493	0	0	0	1	1	0	3
specI-1609104	0	0	0	0	1	0	3
specI-1993	0	0	0	1	1	0	3
specI-216591	0	0	0	1	1	1	3
specI-249567	0	0	0	1	1	0	3
specI-266835	0	0	0	1	0	0	3
specI-281186	0	0	0	1	1	0	3
specI-292	0	0	0	1	1	1	3
specI-311402	0	0	0	1	1	0	3
specI-334858	1	0	0	1	1	1	3
specI-350701	0	0	0	1	1	0	3
specI-359131	0	0	0	1	0	0	3
specI-371720	0	1	0	1	1	1	3
specI-384676	0	0	0	1	0	0	3
specI-398527	0	0	0	1	1	0	3
specI-43759	0	0	0	1	1	1	3
specI-443598	0	0	0	0	1	0	3
specI-543632	0	0	0	1	1	1	3
specI-590061	0	0	0	1	0	1	3
specI-591158	0	0	0	1	1	0	3
specI-640511	0	0	0	1	1	0	3
specI-67267	0	0	0	1	1	1	3
specI-67287	0	0	0	0	1	0	3
specI-68570	0	1	0	0	0	0	3
specI-69484	0	0	0	1	1	1	3
specI-711393	0	0	0	1	0	1	3
specI-80858	0	0	0	2	0	1	3
specI-80858	0	0	0	2	0	1	3
specI-83378	0	0	0	1	1	1	3
specI-948106	0	0	0	1	1	0	3
TMED167	0	0	0	1	0	0	3
TMED37	0	0	0	1	0	0	3
UBA1141	0	0	0	1	0	0	3
UBA1326	1	0	0	0	0	0	3
UBA1479	0	0	0	1	1	0	3
UBA2165	0	0	0	1	1	0	3
UBA2667	0	0	0	1	1	0	3
UBA2973	1	0	0	0	0	0	3
UBA4392	0	0	0	1	0	0	3
UBA4479	0	0	0	0	1	0	3
UBA4492	0	0	0	1	1	0	3
UBA5101	0	0	0	1	1	0	3
UBA830	1	0	0	0	0	0	3
DSM16000	0	0	0	1	1	0	2
DSM17497	0	0	0	1	0	0	2
DSM19509	0	0	0	1	1	0	2
DSM43889	0	0	0	1	0	1	2
EAC36	0	0	0	1	1	0	2
MED	0	0	0	1	1	0	2
MMP03699827	0	0	0	0	1	0	2
MMP06323808	0	0	0	1	0	0	2
MMP08161523	0	0	0	0	1	0	2
NAT232	0	0	0	1	1	0	2
NAT503	0	1	0	1	0	1	2
NP124	0	0	0	1	1	0	2
NP37	0	0	0	1	1	0	2
RS457	0	0	0	0	1	0	2
SP18	0	0	0	1	1	0	2
SP218	0	0	1	1	1	1	2
SP232	0	0	0	0	1	0	2
SP3029	0	0	0	1	1	0	2
specI-1040986	0	0	0	1	0	0	2
specI-1054213	0	0	0	1	1	2	2
specI-1071679	0	0	0	1	1	0	2
specI-1079460	0	0	0	1	0	0	2
specI-1116232	0	0	0	2	1	1	2
specI-1116232	0	0	0	2	1	1	2
specI-1124983	0	0	0	1	0	0	2
specI-1133849	1	0	0	1	1	1	2
specI-1169161	0	0	0	0	1	0	2
specI-1204340	0	0	0	1	1	0	2
specI-1218076	0	0	0	1	1	0	2
specI-1229205	0	0	0	1	1	0	2
specI-1232451	0	0	0	0	1	0	2
specI-1298859	0	0	0	1	1	0	2
specI-1357272	0	0	0	1	0	0	2
specI-1397282	0	0	0	1	0	0	2
specI-1415545	0	0	0	1	0	0	2
specI-1415549	0	0	0	1	1	0	2
specI-1415556	0	0	0	1	1	0	2
specI-1415563	0	0	0	1	1	0	2
specI-1415626	0	0	0	0	1	0	2
specI-1463821	0	0	0	1	1	1	2
specI-1463825	0	0	0	1	1	1	2
specI-1463828	0	0	0	1	1	0	2
specI-1463829	0	0	0	1	0	0	2
specI-1463831	0	0	0	1	0	0	2
specI-1463839	0	0	0	1	0	0	2
specI-1463842	0	0	0	1	1	0	2
specI-1463847	0	0	0	1	0	0	2
specI-1463848	0	0	0	1	0	0	2
specI-1463850	0	0	0	1	1	0	2
specI-1463863	0	0	0	1	1	0	2
specI-1463865	0	0	0	1	1	0	2
specI-1463869	0	0	0	1	0	0	2
specI-1463870	0	0	0	1	0	0	2
specI-1463888	0	0	0	1	1	0	2
specI-1463890	0	0	0	1	1	0	2
